ID. Ils,IUPAC,FG,MW,Temperatura reducida,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,Tensión superficial
436,1-methyl-3-propylimidazolium chloride,C7H13ClN2,160.65,0.43961127,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.217179167,511.64,535.15,768.8610899,30.69021245,0.24563161,0.45292223,55
436,1-methyl-3-propylimidazolium chloride,C7H13ClN2,160.65,0.446699676,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.217179167,511.64,535.15,768.8610899,30.69021245,0.24563161,0.45292223,54.6
436,1-methyl-3-propylimidazolium chloride,C7H13ClN2,160.65,0.453124764,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.217179167,511.64,535.15,768.8610899,30.69021245,0.24563161,0.45292223,54.3
436,1-methyl-3-propylimidazolium chloride,C7H13ClN2,160.65,0.459263714,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.217179167,511.64,535.15,768.8610899,30.69021245,0.24563161,0.45292223,54.1
436,1-methyl-3-propylimidazolium chloride,C7H13ClN2,160.65,0.466274083,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.217179167,511.64,535.15,768.8610899,30.69021245,0.24563161,0.45292223,53.7
436,1-methyl-3-propylimidazolium chloride,C7H13ClN2,160.65,0.407147668,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.217179167,511.64,535.15,768.8610899,30.69021245,0.24563161,0.45292223,55.61
436,1-methyl-3-propylimidazolium chloride,C7H13ClN2,160.65,0.414040981,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.217179167,511.64,535.15,768.8610899,30.69021245,0.24563161,0.45292223,55.41
436,1-methyl-3-propylimidazolium chloride,C7H13ClN2,160.65,0.420804231,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.217179167,511.64,535.15,768.8610899,30.69021245,0.24563161,0.45292223,54.98
436,1-methyl-3-propylimidazolium chloride,C7H13ClN2,160.65,0.427138275,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.217179167,511.64,535.15,768.8610899,30.69021245,0.24563161,0.45292223,54.7
436,1-methyl-3-propylimidazolium chloride,C7H13ClN2,160.65,0.433745451,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.217179167,511.64,535.15,768.8610899,30.69021245,0.24563161,0.45292223,54.42
